case_id,category,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
VLAN-001,VLAN,Host A (VLAN 10) cannot ping Host B (VLAN 10) across the trunk link between Switch 1 and Switch 2.,Host A (192.168.10.5/24) is connected to Switch 1 FastEthernet 0/1. Host B (192.168.10.6/24) is connected to Switch 2 FastEthernet 0/1. Switch 1 Gi0/1 connects to Switch 2 Gi0/1.,"Switch1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      10

Switch2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99

Switch1# show interface Gi0/1 switchport
Name: Gi0/1
Operational Mode: trunk
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: dot1q
Negotiation of Trunking: On
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 10 (Finance)
Administrative Native VLAN tagging: disabled
",Native VLAN mismatch on the trunk link between Switch 1 (Native VLAN 10) and Switch 2 (Native VLAN 99).,Layer 2,native-vlan-mismatch,High
VLAN-002,VLAN,Users in VLAN 20 on Switch 2 cannot reach the default gateway on Router 1.,Switch 2 is connected to Switch 1 via trunk port Gi0/2. Switch 1 is connected to Router 1. VLAN 20 is configured on both switches.,"Switch2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/2       on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/2       1-4094
Port        Vlans allowed and active in management domain
Gi0/2       1,10,20

Switch1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/2       on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/2       1,10
Port        Vlans allowed and active in management domain
Gi0/2       1,10
",VLAN 20 is pruned/missing from the allowed VLAN list on Switch 1's trunk interface Gi0/2.,Layer 2,vlan-pruning-allowed-list,High
VLAN-003,VLAN,A newly deployed PC in the HR department cannot get an IP address or ping any devices.,PC is plugged into Switch 1 FastEthernet 0/5. The HR department uses VLAN 30 (192.168.30.0/24).,"Switch1# show mac address-table interface Fa0/5
          Mac Address Table
-------------------------------------------
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
1       00e0.f711.2233    DYNAMIC     Fa0/5

Switch1# show interface Fa0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Access VLAN: 1 (default)
Operational Access VLAN: 1 (default)
",Switch port Fa0/5 is assigned to the default VLAN 1 instead of the HR VLAN 30.,Layer 2,incorrect-vlan-assignment,Medium
VLAN-004,VLAN,The link between Switch 1 and Switch 2 shows down/down and trunking is not operational.,Switch 1 Gi0/2 is cabled to Switch 2 Gi0/2. They are configured for trunking.,"Switch1# show run interface Gi0/2
interface GigabitEthernet0/2
 switchport trunk encapsulation dot1q
 switchport mode trunk
!

Switch2# show run interface Gi0/2
interface GigabitEthernet0/2
 switchport trunk encapsulation isl
 switchport mode trunk
!
",Trunking encapsulation mismatch (dot1q on Switch 1 vs ISL on Switch 2) prevents trunk negotiation.,Layer 2,trunk-encapsulation-mismatch,High
GW-001,Gateway,Hosts experience intermittent packet loss and connection drops when trying to reach the gateway IP 192.168.1.254.,Router 1 (R1) and Router 2 (R2) run HSRP for the default gateway 192.168.1.254 in VLAN 10.,"R1# show standby brief
                     P indicates configured to preempt.
                     |
Interface   Grp  Pri P State    Active          Standby         Virtual IP
Gi0/0.10    1    110 P Active   local           192.168.1.2     192.168.1.254

R2# show standby brief
                     P indicates configured to preempt.
                     |
Interface   Grp  Pri P State    Active          Standby         Virtual IP
Gi0/0.10    2    100   Active   local           unknown         192.168.1.254
",HSRP group ID mismatch (Group 1 on R1 vs Group 2 on R2) causes both routers to act as Active gateways.,Layer 3,hsrp-group-mismatch,Critical
GW-002,Gateway,"PCs in VLAN 10 cannot ping their gateway or external networks, but VLAN 20 is working fine.",Router 1 acts as router-on-a-stick for VLAN 10 and VLAN 20 via interface Gi0/0.,"R1# show ip interface brief | exclude unassigned
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual administratively down down
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up
",The subinterface GigabitEthernet0/0.10 is administratively shut down.,Layer 1,subinterface-shutdown,High
GW-003,Gateway,Host C (static IP) can ping other hosts in its local subnet but cannot access any external subnets or the internet.,Host C is configured with static IP 10.1.10.50/24. The subnet default gateway is Router 1 (10.1.10.1).,"HostC# ipconfig
FastEthernet0 Connection:
   Link-local IPv6 Address.........: fe80::2e0:f7ff:fe22:3344
   IPv4 Address....................: 10.1.10.50
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 10.1.10.254

R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     10.1.10.1       YES manual up                    up
",Host C has a mismatched default gateway (10.1.10.254) configured instead of the actual router interface (10.1.10.1).,Layer 3,gateway-ip-mismatch,Medium
GW-004,Gateway,Legacy hosts using Router-Less configurations cannot communicate across subnets despite having Proxy ARP expected.,Hosts are configured without a gateway and expect the router to reply to ARP requests for non-local IPs.,"R1# show ip interface Gi0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 192.168.1.1/24
  Broadcast address is 255.255.255.255
  Address determined by setup program
  Helper address is not set
  Directed broadcast forwarding is disabled
  Proxy ARP is disabled
  Local Proxy ARP is disabled
",Proxy ARP is disabled on Router 1's GigabitEthernet0/0 interface.,Layer 3,proxy-arp-disabled,Low
DHCP-001,DHCP,PCs in VLAN 30 fail to get an IP address via DHCP and get a 169.254.x.x autoconfiguration address.,Hosts are in VLAN 30. The DHCP Server (10.100.1.50) is in VLAN 100. Router 1 is the default gateway for VLAN 30.,"R1# show running-config interface Gi0/0.30
interface GigabitEthernet0/0.30
 encapsulation dot1Q 30
 ip address 192.168.30.1 255.255.255.0
!

R1# show ip interface Gi0/0.30
GigabitEthernet0/0.30 is up, line protocol is up
  Internet address is 192.168.30.1/24
  Helper address is not set
",Missing DHCP helper-address (`ip helper-address 10.100.1.50`) on the router's subinterface Gi0/0.30.,Layer 3,missing-dhcp-helper,High
DHCP-002,DHCP,New employees in the Finance department cannot connect to the network. Existing users are working normally.,A router acts as the DHCP server for the Finance subnet 192.168.40.0/26 (62 usable hosts).,"R1# show ip dhcp pool Finance
Pool Finance :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (allocated/total)  : 62 / 62
 IP addresses                   : Current: 62  Max: 62  Excluded: 5
 Active bindings                : 57
 Expired bindings               : 0
 IP address leases              : 57
",DHCP address pool utilization is at 100% (pool exhaustion). No IP addresses left to allocate.,Layer 3,dhcp-pool-exhaustion,Medium
